Time(ms),x,y,z,qx,qy,qz,qw
83544,-0.7562629,-1.5745635,-0.1792865,0.0050016,0.8507624,-0.1164341,0.5134149
83569,-0.7497684,-1.5718434,-0.1745759,0.0102013,0.8556291,-0.1191503,0.5049416
83612,-0.7457441,-1.5707291,-0.1703446,0.0166236,0.8577831,-0.1185371,0.5011010
83641,-0.7398244,-1.5688957,-0.1664949,0.0223337,0.8608118,-0.1205689,0.4954977
83668,-0.7367666,-1.5686185,-0.1642392,0.0262353,0.8613207,-0.1213527,0.4940671
83711,-0.7345981,-1.5686541,-0.1630768,0.0292542,0.8614028,-0.1229298,0.4932177
83729,-0.7309760,-1.5682009,-0.1619636,0.0336810,0.8623387,-0.1258230,0.4907103
83835,-0.7313092,-1.5692197,-0.1632232,0.0359135,0.8610142,-0.1260814,0.4924177
83850,-0.7223871,-1.5677254,-0.1635035,0.0472474,0.8632886,-0.1313294,0.4869971
83876,-0.7285819,-1.5698304,-0.1718132,0.0483531,0.8566547,-0.1259406,0.4986882
83890,-0.7301778,-1.5703709,-0.1760372,0.0504227,0.8535983,-0.1247842,0.5037439
83934,-0.7319679,-1.5706974,-0.1796681,0.0515804,0.8509063,-0.1239890,0.5081840
83961,-0.7322465,-1.5707150,-0.1844405,0.0552468,0.8479007,-0.1241403,0.5128124
84004,-0.7344777,-1.5708449,-0.1902732,0.0570974,0.8437908,-0.1231629,0.5195003
84019,-0.7369211,-1.5707681,-0.1981193,0.0601903,0.8383987,-0.1219721,0.5281548
84072,-0.7406509,-1.5707242,-0.2048651,0.0607420,0.8334591,-0.1201553,0.5361487
84087,-0.7443961,-1.5703195,-0.2153189,0.0645685,0.8262763,-0.1181831,0.5475065
84129,-0.7495860,-1.5694851,-0.2238760,0.0657738,0.8202769,-0.1149382,0.5568418
84170,-0.7549970,-1.5687213,-0.2354529,0.0697833,0.8121202,-0.1118748,0.5692733
84199,-0.7618979,-1.5679655,-0.2491299,0.0745746,0.8022804,-0.1074633,0.5837584
84228,-0.7686681,-1.5679555,-0.2616834,0.0790549,0.7930471,-0.1035377,0.5965193
84270,-0.7748328,-1.5685540,-0.2736248,0.0834826,0.7843336,-0.1001421,0.6082090
84296,-0.7822381,-1.5695800,-0.2890484,0.0887898,0.7734262,-0.0953682,0.6229137
84337,-0.7878714,-1.5712057,-0.3008385,0.0916138,0.7655343,-0.0910990,0.6327986
84351,-0.7953138,-1.5728716,-0.3169539,0.0952181,0.7552283,-0.0863020,0.6460297
84394,-0.7986696,-1.5742974,-0.3244899,0.0949600,0.7514559,-0.0839931,0.6499945
84435,-0.8057993,-1.5758407,-0.3405220,0.0972023,0.7422503,-0.0789644,0.6617768
84462,-0.8121354,-1.5771632,-0.3551090,0.0978382,0.7349502,-0.0752006,0.6705900
84505,-0.8159862,-1.5776353,-0.3637116,0.0975908,0.7312939,-0.0748517,0.6740636
84532,-0.8222438,-1.5779626,-0.3767391,0.0992163,0.7243645,-0.0745515,0.6815486
84574,-0.8257814,-1.5773007,-0.3820075,0.1003706,0.7213644,-0.0778651,0.6835299
84588,-0.8316840,-1.5769315,-0.3910376,0.1024176,0.7156775,-0.0805049,0.6889067
84631,-0.8334547,-1.5764197,-0.3894114,0.1025976,0.7153370,-0.0843431,0.6879046
84673,-0.8396239,-1.5763984,-0.3963088,0.1032634,0.7100414,-0.0855223,0.6933121
84699,-0.8458738,-1.5765257,-0.3989431,0.1021488,0.7064191,-0.0863948,0.6969560
84727,-0.8503638,-1.5766094,-0.3952907,0.0993999,0.7062665,-0.0873267,0.6968943
84770,-0.8555719,-1.5766205,-0.3924863,0.0972475,0.7056452,-0.0884506,0.6974036
84796,-0.8633932,-1.5766474,-0.3907347,0.0951335,0.7039034,-0.0898264,0.6992025
84839,-0.8690910,-1.5765189,-0.3842392,0.0923232,0.7053498,-0.0906086,0.6977108
84853,-0.8780064,-1.5762140,-0.3787305,0.0887644,0.7057045,-0.0909725,0.6976487
84895,-0.8822440,-1.5758847,-0.3706146,0.0858950,0.7088833,-0.0910213,0.6945117
84937,-0.8910004,-1.5758262,-0.3640936,0.0819193,0.7103697,-0.0914451,0.6933507
84980,-0.9002243,-1.5762060,-0.3547775,0.0778222,0.7136908,-0.0922780,0.6902002
